"'Course (module) volume in credits","'Total student's workload","'Contact hours","'Self-study hours",
"'5","'135","'64","'71",
,,,

'Confidence Scores % (Table Cell)
"'87.10937500","'87.54882813","'88.08593750","'87.64648438",
"'90.86914063","'91.35742188","'91.89453125","'91.45507813",
