"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditoriné","'2 semestras","'Lietuviu / Anglu",
,,

'Confidence Scores % (Table Cell)
"'86.32812500","'85.83984375","'85.98632813",
"'90.38085938","'89.84375000","'89.99023438",
