"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatüra","'","'","'","'",
"'Hernandez M. J.","'2013","'Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design","'","'Addison-Wesley Professional",
"'Silberschatz A., Korth H.F., Sudarshan S.","'2019","'Database System Concepts, 7th edition","'","'McGraw-Hill Education",
"'Papildoma literatüra","'","'","'","'",
"'Date C.J.","'2012","'Database Design and Relational Theory: Normal Forms and All That Jazz","'","'O'Reilly Media",
"'Mannino M. V.","'2005","'Database Design, Application Development, and Administration.","'","'Cengage Learning PTR",
"'Dzemydiene D., Naujikiene R.","'2006","'Informacines sistemos. Duomeny struktüros ir valdymas","'","'LTU Leidybos centras",
,,,,

'Confidence Scores % (Table Cell)
"'94.28710938","'87.84179688","'94.97070313","'92.13867188","'93.99414063",
"'73.48632813","'73.48632813","'73.48632813","'73.48632813","'73.48632813",
"'93.21289063","'86.86523438","'93.94531250","'91.11328125","'92.96875000",
"'93.11523438","'86.76757813","'93.84765625","'91.01562500","'92.87109375",
"'79.29687500","'79.29687500","'79.29687500","'79.29687500","'79.29687500",
"'93.11523438","'86.76757813","'93.84765625","'91.01562500","'92.87109375",
"'88.33007813","'82.27539063","'89.01367188","'86.32812500","'88.08593750",
"'91.16210938","'84.91210938","'91.84570313","'89.06250000","'90.86914063",
