"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditorinè","'2 semestras","'Lietuviu / Angly",
,,

'Confidence Scores % (Table Cell)
"'40.60058594","'40.50292969","'40.57617188",
"'90.91796875","'90.72265625","'90.86914063",
