"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditoriné","'5 semestras","'Lietuviu",
,,

'Confidence Scores % (Table Cell)
"'74.65820313","'75.63476563","'75.34179688",
"'90.18554688","'91.40625000","'91.06445313",
