"'","'","'","'","'Contact","'hours","'","'","'","'Self-study work: time and assignments",
"'Content: breakdown of the topics","'","'","'","'","'","'","'","'","'Assignments",
"'1. Basics of electronics: electronic components.","'2","'","'","'","'2","'","'4","'2","'Inspection of basic electronic components.",
"'2. Basics of electronics: voltage and current, sources of voltage and current, dangers of electricity.","'2","'","'","'","'2","'","'4","'2","'Overview of basic concepts in electronics.",
"'3. Microcontrollers, specifics of an Arduino microcontroller.","'2","'","'","'","'2","'","'4","'4","'Analysis to Arduino boards, installation and verification of the software.",
"'4. Arduino basics, Arduino programming, electrical schematics, simple LED control, Ohm's law.","'2","'","'","'","'2","'","'4","'4","'Simple LED control, connection and control of a simple diode with a resistor.",
"'5. Analog and digital electronics, potentiometers, LED diodes.","'2","'","'","'","'2","'","'4","'4","'Potentiometers. Control of diodes and other components using analogue electronics (potentiometers).",
"'6. Buttons and switches, various sensors in electronics, solution to button debouncing problem using electronics and programming code.","'2","'","'","'","'2","'","'4","'4","'Noises in electronics. Solving the noise problem in electronics and software.",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'96.19140625","'90.23437500","'90.23437500","'90.23437500","'90.23437500","'90.23437500","'90.23437500","'90.23437500","'89.01367188","'89.01367188",
"'96.19140625","'93.45703125","'95.80078125","'95.21484375","'94.58007813","'95.36132813","'95.50781250","'90.23437500","'92.04101563","'94.97070313",
"'93.50585938","'90.77148438","'93.01757813","'92.48046875","'91.89453125","'92.62695313","'92.77343750","'87.59765625","'89.40429688","'92.23632813",
"'93.01757813","'90.28320313","'92.57812500","'91.99218750","'91.40625000","'92.13867188","'92.28515625","'87.15820313","'88.91601563","'91.79687500",
"'94.67773438","'91.89453125","'94.23828125","'93.65234375","'93.06640625","'93.79882813","'93.94531250","'88.72070313","'90.52734375","'93.40820313",
"'93.50585938","'90.77148438","'93.01757813","'92.48046875","'91.89453125","'92.62695313","'92.77343750","'87.59765625","'89.40429688","'92.23632813",
"'95.06835938","'92.28515625","'94.62890625","'94.04296875","'93.40820313","'94.18945313","'94.33593750","'89.11132813","'90.91796875","'93.79882813",
"'94.43359375","'91.65039063","'93.94531250","'93.35937500","'92.77343750","'93.50585938","'93.65234375","'88.47656250","'90.28320313","'93.11523438",
