"'Dalyko (modulio) apimtis kreditais","'Visas studento darbo krüvis","'Kontaktinio darbo valandos","'Savarankisko darbo valandos",
"'5","'135","'64","'71",
,,,

'Confidence Scores % (Table Cell)
"'87.30468750","'86.71875000","'87.64648438","'87.06054688",
"'88.72070313","'88.13476563","'89.06250000","'88.47656250",
