"'Vertinimo strategija","'Svoris proc.","'Atsiskaitymo laikas","'Vertinimo kriterijai",
"'Laboratoriniai darbai","'60 proc.","'Semestro metu","'Vertinamos atliktos laboratoriniy darby uzduotys, ataskaity pilnumas, programinio kodo originalumas.",
"'Egzaminas (rastu)","'40 proc.","'Semestro pabaigoje","'Vertinami teorinès laboratoriniu darby dalies atsakymai, susije su elektronika in programavimu.",
,,,

'Confidence Scores % (Table Cell)
"'87.35351563","'81.54296875","'85.25390625","'88.08593750",
"'93.06640625","'86.86523438","'90.77148438","'93.79882813",
"'94.67773438","'88.37890625","'92.38281250","'95.45898438",
