"'3. Kritinio kelio metodas. Darby isskaidymo struktüra (WBS), tinklines diagramos sudarymas, kritinio kelio identifikavimas ir analize, projekto tvarkarascio ir projekto biudzeto sudarymas.","'4","'","'","'","'2","'","'6","'10","'Literatüros paieska ir analizè; Savarankisku praktiniu uzduociu atlikimas; Rasto darbo parengimas; Darbo pristatymas.",
"'4. Kritinés grandinès metodas. Apribojimy teorija. Trikdziu valdymas, nasumo didinimas. Projekto ir maitinantis buferiai. Buferiu apskaiciavimo metodikos, buferiu valdymas.","'2","'","'","'","'2","'","'4","'10","'Literatüros paieska ir analizè; Savarankisku praktiniu uzduociu atlikimas; Rasto darbo parengimas; Darbo pristatymas.",
"'5. Projekto vykdymas. Projektu nukrypimy stebejimas ir valdymas, projekto komandos valdymas, riziku valdymas, uzdirbtos vertès ivertinimas, tarpiniu ataskaity rengimas, darbas su subrangovais.","'6","'","'","'","'2","'","'8","'10","'Literatüros paieska ir analizè; Savarankisku praktiniu uzduociu atlikimas; Rasto darbo parengimas; Darbo pristatymas.",
"'6. Agile metodai. Agile metodu pagrindiniai principai ir taikymo ypatumai. Scrum, Kanban, Extreme Programming, Lean Software Development, DSDM, FDD, Crystal metody analizè ir taikymas.","'6","'","'","'","'4","'","'10","'8","'Literatüros paieska ir analizè; Savarankisku praktiniu uzduociu atlikimas; Rasto darbo parengimas; Darbo pristatymas.",
"'7. Projekto uzbaigimas. Kontraktu uzdarymas. Projekto rezultatu perdavimas naudotojams. Projekto uzbaigimo ataskaitos ruosimas. Projekto perziura. Klaidy analizè ir ismoktu pamoku nustatymas.","'4","'","'","'","'2","'","'6","'6","'Literatüros paieska ir analizè; Savarankisku praktiniu uzduociu atlikimas; Rasto darbo parengimas; Darbo pristatymas.",
"'Egzaminas","'","'","'","'","'","'","'","'18","'Literaturos kartojimas",
"'Is viso","'32","'","'","'","'16","'","'48","'85","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'93.45703125","'91.35742188","'92.43164063","'92.67578125","'92.23632813","'92.77343750","'92.87109375","'90.82031250","'90.47851563","'92.38281250",
"'94.09179688","'91.94335938","'93.06640625","'93.26171875","'92.87109375","'93.35937500","'93.45703125","'91.45507813","'91.06445313","'93.01757813",
"'93.89648438","'91.79687500","'92.87109375","'93.06640625","'92.67578125","'93.16406250","'93.26171875","'91.25976563","'90.86914063","'92.82226563",
"'93.45703125","'91.35742188","'92.43164063","'92.67578125","'92.23632813","'92.77343750","'92.87109375","'90.82031250","'90.47851563","'92.38281250",
"'95.60546875","'93.45703125","'94.53125000","'94.77539063","'94.38476563","'94.87304688","'94.97070313","'92.91992188","'92.52929688","'94.53125000",
"'83.88671875","'81.98242188","'82.95898438","'83.15429688","'82.76367188","'83.25195313","'83.30078125","'81.54296875","'81.20117188","'82.91015625",
"'85.30273438","'83.39843750","'84.37500000","'84.57031250","'84.17968750","'84.66796875","'84.76562500","'82.91015625","'82.56835938","'84.32617188",
