"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditorine","'5 semestras","'Lietuviy / Angly",
,,

'Confidence Scores % (Table Cell)
"'59.17968750","'59.52148438","'60.35156250",
"'88.86718750","'89.40429688","'90.62500000",
