"'Author","'Year of publication","'Title","'Issue of a periodical or volume of a publication","'Publishing place and house or web link",
"'Compulsory reading","'","'","'","'",
"'Ruta Ciutiene, Evelina Meiliené, Bronius Neverauskas, Vytautas Stankevicius","'2011","'Projekty valdymas","'","'KTU leidykla ""Technologija", 2011. (Collection of slides: https://www.ebooks.ktu.It/einfo/96/pr ojektu-valdymas/)",
"'Villafiorita, Adolfo","'2014","'Introduction to Project Management","'","'Auerbach Publications",
"'Optional reading","'","'","'","'",
"'Teofilo Gonzalez, Jorge Diaz- Herrera, Allen Tucker.","'2014","'Computer Science and Software Engineering","'3th. Eds.","'CRC Press",
"'Laplante, Phillip A.","'2013","'Requirements engineering for software and systems","'2th. Eds.","'CRC Press",
"'lan Sommervill","'2015","'Software Engineering","'10th. Eds.","'Pearson",
,,,,

'Confidence Scores % (Table Cell)
"'94.58007813","'90.52734375","'94.97070313","'93.11523438","'94.04296875",
"'78.07617188","'78.07617188","'78.07617188","'78.07617188","'78.07617188",
"'95.11718750","'91.06445313","'95.55664063","'93.70117188","'94.58007813",
"'94.14062500","'90.08789063","'94.58007813","'92.72460938","'93.60351563",
"'76.56250000","'76.56250000","'76.56250000","'76.56250000","'76.56250000",
"'92.96875000","'89.01367188","'93.40820313","'91.60156250","'92.48046875",
"'93.01757813","'89.06250000","'93.45703125","'91.65039063","'92.52929688",
"'88.81835938","'85.00976563","'89.20898438","'87.50000000","'88.33007813",
