"'déklas ir abipusis déklas, eiluté ir cikliné eiluté.","'","'","'","'","'","'","'","'","'programavimo uzduotis.",
"'4. Paieska tiesine, dvejetainé.","'4","'","'","'2","'2","'","'8","'4","'",
"'5. Abstraktus duomenu tipas matrica, aibè, medziai, Heap struktüra, prioritetinè eiluté.","'3","'","'","'2","'","'","'5","'4","'Literaturos analize.",
"'6. Rikiavimo algoritmai rikiavimo algoritmo stabilumas ir sudetingumas, isrinkimo algoritmas, burbuliuko algoritmas, iterpimo algoritmas, rikiavimas Selo metodu, spartaus rikiavimo algoritmas, salajos rikiavimas, isorinis rikiavimas, piramides rikiavimas, skaitmeninis rikiavimas.","'4","'","'","'2","'2","'","'8","'8","'Literaturos analizè, savarankiskas mokymasis.",
"'7. Medziai dvejetainis medis, dvejetainis paieskos medis, medzio apejimo büdai, AVL medziai, Fibonacio medziai, raudoni-juodi medziai, 2-3 medziai, 2-3-4 medziai, B-medziai, Priuferio kodas, medzio centras, medziu vizualizacijos algoritmai.","'4","'","'","'3","'3","'","'10","'10","'Literaturos analizè, antroji programavimo uzduotis.",
"'8. Grafai grafai ir digrafai, multigrafai ir svoriniai grafai, incidentumo ir gretimumo matricos.","'4","'","'","'4","'","'","'8","'4","'Literaturos analize.",
"'9. Grafu paieskos algoritmai paieska i ploti ir i gyli, Kruskalio ir Primo algoritmai, Dijkstros algoritmas, Belmano-Fordo algoritmas, Floido-Varsalo algoritmas, Edmondso-Karpo algoritmas, priessraucio stûmimo algoritmas.","'4","'","'","'","'6","'","'10","'10","'Literatüros analizè, trecioji programavimo uzduotis.",
"'Pasiruosimas egzaminui","'","'2","'","'","'","'","'2","'15","'Pasiruosimas egzaminui",
"'Is viso","'32","'2","'","'17","'15","'","'66","'67","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'92.23632813","'89.50195313","'91.60156250","'84.27734375","'91.99218750","'92.62695313","'82.12890625","'93.35937500","'91.25976563","'91.79687500",
"'91.25976563","'88.57421875","'90.62500000","'83.39843750","'91.06445313","'91.69921875","'81.29882813","'92.38281250","'90.33203125","'91.79687500",
"'92.72460938","'89.94140625","'92.04101563","'84.71679688","'92.48046875","'93.11523438","'82.56835938","'93.84765625","'91.74804688","'92.62695313",
"'85.98632813","'83.39843750","'85.35156250","'78.51562500","'85.74218750","'86.32812500","'76.56250000","'87.01171875","'85.05859375","'85.88867188",
"'84.76562500","'82.27539063","'84.17968750","'77.44140625","'84.57031250","'85.15625000","'75.48828125","'85.79101563","'83.88671875","'84.66796875",
"'91.79687500","'89.06250000","'91.16210938","'83.88671875","'91.55273438","'92.23632813","'81.73828125","'92.91992188","'90.82031250","'91.69921875",
"'70.94726563","'68.84765625","'70.45898438","'64.84375000","'70.80078125","'71.28906250","'63.18359375","'71.82617188","'70.21484375","'70.89843750",
"'93.50585938","'90.72265625","'92.87109375","'85.44921875","'93.26171875","'93.94531250","'83.30078125","'94.62890625","'92.52929688","'93.40820313",
"'78.56445313","'76.22070313","'77.97851563","'71.77734375","'78.36914063","'78.90625000","'69.97070313","'79.49218750","'77.73437500","'78.46679688",
