"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditorine","'2 semestras","'Lietuviu / Angly",
,,

'Confidence Scores % (Table Cell)
"'79.98046875","'79.83398438","'80.41992188",
"'90.42968750","'90.28320313","'90.91796875",
