"'","'","'Kontaktinio","'","'darbo","'","'valandos","'","'","'Savarankisku studiju laikas ir uzduotys",
"'Temos","'","'","'Santander","'Printer","'","'","'Visas","'","'Uzduotys",
"'1. Pagrindines kompiuteriu architektüros savokos. Kompiuteriu struktüra ir funkcijos. Kompiuteriu vystymosi raida. Kompiuteriu kartos ir klasifikacija.","'2","'","'","'","'2","'","'4","'4","'Literatüros analizè, praktiniu uzduociu atlikimas",
"'2. Informacijos kodavimas (tekstine, grafiné, garsiné, video informacija). Sveiku bei realiu skaiciu ir simboliu atvaizdavimas kompiuteryje.","'2","'","'","'","'2","'","'4","'2","'Literatüros analizè, praktiniu uzduociu atlikimas",
"'3. Skaiciavimo sistemos. Matematines operacijos ivairiose skaiciavimo sistemose. Loginiai elementai ir operacijos. Logines schemos.","'2","'","'","'","'2","'","'4","'2","'Literatüros analizè, praktiniu uzduociu atlikimas",
"'4. Procesoriu struktüra ir veikimo principai.","'4","'","'","'","'4","'","'8","'6","'Literaturos analizè, praktiniu uzduociu atlikimas",
"'5. Kompiuterio atminties sistema. Atminties irenginiai ju charakteristikos. Magistrales. Kompiuterio nasumo metrikos.","'4","'","'","'","'4","'","'8","'6","'Literatüros analizè, praktiniu uzduociu atlikimas",
"'6. Kompiuterio ivedimo isvedimo sistema.","'2","'","'","'","'2","'","'4","'6","'Literaturos analize, praktiniu uzduociu atlikimas",
"'7. Sistemine ir taikomoji programiné iranga. Pagrindiniai operaciniu sistemy sandaros bei veikimo principai, valdymo funkcijos bei jas realizuojantys algoritmai. MS Windows, UNIX ir Apple os X operacines sistemos.","'4","'","'","'","'4","'","'8","'6","'Literaturos analizè, praktiniu uzduociu atlikimas, programinés irangos funkciju isisavinimas",
"'8. Paskirstytu sistemy architektüra.","'4","'","'","'","'4","'","'8","'8","'Literatüros analize, praktiniu uzduociu atlikimas (lygiagreciuju skaiciavimu taikymas)",
"'9. Virtualiu masinu architektüra. Debesy kompiuterijos veikimo principai.","'4","'","'","'","'4","'","'8","'6","'Literatüros analizè, praktiniu uzduociu atlikimas",
"'10. Sistemy integracijos sprendimy kûrimo principai.","'4","'","'","'","'4","'","'8","'6","'Literaturos analizè, praktiniu uzduociu atlikimas",
"'11. Pranesimo pasirinkta tema rengimas ir pristatymas","'","'","'","'","'","'","'","'3","'Literatüros analizè, pranesimo rengimas",
"'12. Pasiruosimas egzaminui","'","'","'","'","'","'","'","'14","'Literatüros analizè",
"'Is viso","'32","'","'","'","'32","'","'64","'69","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'97.26562500","'90.62500000","'90.62500000","'90.62500000","'90.62500000","'90.62500000","'90.62500000","'90.62500000","'89.45312500","'89.45312500",
"'97.26562500","'92.67578125","'94.67773438","'84.81445313","'94.77539063","'47.87597656","'94.53125000","'77.97851563","'92.43164063","'96.28906250",
"'96.33789063","'91.69921875","'93.70117188","'83.93554688","'93.79882813","'47.36328125","'93.55468750","'77.14843750","'91.45507813","'95.26367188",
"'95.41015625","'90.82031250","'92.82226563","'83.15429688","'92.91992188","'46.92382813","'92.67578125","'76.41601563","'90.57617188","'94.38476563",
"'95.84960938","'91.25976563","'93.21289063","'83.49609375","'93.31054688","'47.14355469","'93.06640625","'76.75781250","'91.01562500","'94.77539063",
"'93.21289063","'88.76953125","'90.72265625","'81.25000000","'90.77148438","'45.84960938","'90.57617188","'74.70703125","'88.52539063","'92.23632813",
"'96.38671875","'91.74804688","'93.75000000","'83.98437500","'93.84765625","'47.38769531","'93.60351563","'77.19726563","'91.50390625","'95.31250000",
"'93.40820313","'88.96484375","'90.86914063","'81.39648438","'90.96679688","'45.94726563","'90.77148438","'74.85351563","'88.72070313","'92.43164063",
"'96.72851563","'92.04101563","'94.09179688","'84.27734375","'94.18945313","'47.55859375","'93.94531250","'77.49023438","'91.84570313","'95.65429688",
"'95.65429688","'91.06445313","'93.06640625","'83.34960938","'93.11523438","'47.04589844","'92.91992188","'76.61132813","'90.82031250","'94.62890625",
"'94.87304688","'90.33203125","'92.28515625","'82.66601563","'92.38281250","'46.65527344","'92.13867188","'76.02539063","'90.08789063","'93.84765625",
"'94.58007813","'90.03906250","'91.99218750","'82.42187500","'92.08984375","'46.50878906","'91.89453125","'75.78125000","'89.79492188","'93.55468750",
"'95.41015625","'90.82031250","'92.82226563","'83.15429688","'92.91992188","'46.92382813","'92.67578125","'76.41601563","'90.57617188","'94.38476563",
"'92.72460938","'88.28125000","'90.18554688","'80.76171875","'90.28320313","'45.60546875","'90.03906250","'74.26757813","'88.03710938","'91.69921875",
"'88.72070313","'84.47265625","'86.27929688","'77.29492188","'86.37695313","'43.62792969","'86.18164063","'71.04492188","'84.22851563","'87.74414063",
