"'Dalyko (modulio) pavadinimas","'Kodas",
"'KOMPIUTERIU ARCHITEKTÜRA","'",
,

'Confidence Scores % (Table Cell)
"'91.50390625","'87.40234375",
"'95.70312500","'91.40625000",
