"'Course (module) volume in credits","'Total student's workload","'Contact hours","'Self-study hours",
"'5","'133","'64","'69",
,,,

'Confidence Scores % (Table Cell)
"'91.65039063","'90.62500000","'91.25976563","'91.65039063",
"'91.11328125","'90.13671875","'90.77148438","'91.11328125",
