"'Author","'Year of publica tion","'Title","'Issue of a periodical or volume of a publication","'Publishing place and house or web link",
"'Compulsory reading","'","'","'","'",
"'Stallings W.","'2019","'Computer Organization and Architecture: Designing for Performance","'","'Boston: Pearson",
"'Englander, Irv","'2014","'The Architecture of Computer Hardware and System Software: An Information Technology Approach, 5th Edition","'","'New York: Wiley",
"'Urbanavicius, Vytautas","'2007","'Kompiuteriai ir ju architektüra","'","'Vilnius : Technika",
"'Optional reading","'","'","'","'",
"'Winkler, Joachim R.","'2011","'Securing the cloud: cloud computer security techniques and tactics","'","'Amsterdam: Elsevier",
"'Portnoy, M.","'2012","'Virtualization essentials","'","'Indianapolis: J. Wiley & Sons",
"'Tarnoff, David L.","'2007","'Computer Organization and Design Fundamentals","'","'http://faculty.etsu.edu/tar noff/ntes2150.html",
,,,,

'Confidence Scores % (Table Cell)
"'95.01953125","'90.77148438","'94.62890625","'92.96875000","'94.09179688",
"'78.71093750","'78.71093750","'78.71093750","'78.71093750","'78.71093750",
"'94.48242188","'90.28320313","'94.14062500","'92.43164063","'93.55468750",
"'95.45898438","'91.16210938","'95.06835938","'93.35937500","'94.53125000",
"'93.99414063","'89.74609375","'93.60351563","'91.89453125","'93.06640625",
"'76.70898438","'76.70898438","'76.70898438","'76.70898438","'76.70898438",
"'94.23828125","'89.99023438","'93.84765625","'92.13867188","'93.26171875",
"'91.60156250","'87.50000000","'91.21093750","'89.59960938","'90.67382813",
"'94.09179688","'89.84375000","'93.70117188","'91.99218750","'93.11523438",
