"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditoriné","'1 semestras","'Lietuviu",
,,

'Confidence Scores % (Table Cell)
"'80.46875000","'80.51757813","'80.27343750",
"'89.69726563","'89.74609375","'89.45312500",
