"'Dalyko (modulio) apimtis kreditais","'Visas studento darbo krüvis","'Kontaktinio darbo valandos","'Savarankisko darbo valandos",
"'5","'133","'64","'69",
,,,

'Confidence Scores % (Table Cell)
"'91.79687500","'91.11328125","'91.55273438","'92.52929688",
"'91.69921875","'90.96679688","'91.40625000","'92.38281250",
