"'7. Introduction to artificial neural networks (artificial neuron, single- layer and multilayer perceptron)","'2","'","'","'","'","'","'2","'20","'",
"'Total","'24","'","'","'","'24","'","'48","'85","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'94.53125000","'85.74218750","'90.33203125","'90.82031250","'90.57617188","'90.77148438","'91.21093750","'91.30859375","'87.64648438","'92.67578125",
"'93.21289063","'84.61914063","'89.11132813","'89.55078125","'89.35546875","'89.50195313","'89.99023438","'90.08789063","'86.47460938","'91.40625000",
