"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditoriné","'1 semestras","'Lietuviu / Angly",
,,

'Confidence Scores % (Table Cell)
"'78.61328125","'78.66210938","'79.19921875",
"'43.99414063","'44.04296875","'44.33593750",
