"'Dalyko (modulio) apimtis kreditais","'Visas studento darbo krüvis","'Kontaktinio darbo valandos","'Savarankisko darbo valandos",
"'5","'133","'64","'69",
,,,

'Confidence Scores % (Table Cell)
"'88.23242188","'87.45117188","'88.81835938","'89.16015625",
"'89.25781250","'88.47656250","'89.89257813","'90.23437500",
