"'Déstytojas (-ai)","'Padalinys (-iai)",
"'Koordinuojantis: dr. Algirdas Lancinskas Kitas (-i): dr. Povilas Treigys","'Matematikos in informatikos fakultetas Duomeny mokslo in skaitmeniniu technologiju institutas",
,

'Confidence Scores % (Table Cell)
"'73.77929688","'73.53515625",
"'64.16015625","'63.91601563",
