"'","'","'","'Kontaktinio","'darbo","'","'valandos","'","'","'Savarankisku studiju laikas ir uzduotys",
"'Temos","'Productions","'","'Santander","'Principal","'databai description","'","'Visas","'","'Uzduotys",
"'1. Kurso apzvalga, C++ standartai, kas yra objektiskai orientuotas programavimas (OOP)? objekto koncepcija, pazintis su programavimo aplinka: kompiliatoriu ir irankiy apzvalga, versiju kontroles sistemos (git), make/cmake irankiai, ""unit"-testai.","'6","'","'","'","'2","'","'8","'16","'Literatüros analizè, laboratoriniai darbai, praktikavimas sprendziant uzduotis: https://leetcode.com/",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'88.23242188","'90.57617188","'90.57617188","'90.57617188","'90.57617188","'90.57617188","'90.57617188","'90.57617188","'89.59960938","'89.59960938",
"'88.23242188","'90.47851563","'92.91992188","'92.38281250","'91.50390625","'92.87109375","'91.45507813","'93.16406250","'91.16210938","'92.62695313",
"'95.11718750","'91.79687500","'94.28710938","'93.75000000","'92.87109375","'94.23828125","'92.82226563","'94.58007813","'92.52929688","'93.99414063",
