"'Course (module) volume in credits","'Total student's workload","'Contact hours","'Self-study hours",
"'10","'271","'96","'175",
,,,

'Confidence Scores % (Table Cell)
"'92.08984375","'91.74804688","'92.43164063","'92.08984375",
"'91.65039063","'91.30859375","'91.94335938","'91.65039063",
