"'Dalyko (modulio) apimtis kreditais","'Visas studento darbo krüvis","'Kontaktinio darbo valandos","'Savarankisko darbo valandos",
"'10","'271","'96","'175",
,,,

'Confidence Scores % (Table Cell)
"'91.99218750","'91.35742188","'92.62695313","'91.74804688",
"'90.18554688","'89.55078125","'90.82031250","'89.94140625",
