"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatura","'","'","'","'",
"'Bjarne Stroustrup","'2022","'A Tour of C++","'Third Edition","'Addison-Wesley Professional; https://www.stroustrup.com/to ur3.html",
"'Bjarne Stroustrup","'2014","'Programming: Principles and Practice Using C++","'2nd Edition","'Addison-Wesley, http://www.stroustrup.com/pr ogramming.html",
"'Stanley Lippman, Josée Lajoie, and Barbara E. Moo","'2012","'C++ Primer","'5th Edition","'Addison-Wesley, http://www.informit.com/store /c-plus-plus-primer- 9780321714114",
"'Bjarne Stroustrup","'2013","'The C++ Programming Language","'4th Edition","'Addison-Wesley, http://www.stroustrup.com/4th .html",
"'Papildoma literatura","'","'","'","'",
"'Nicolai Josuttis","'2012","'C++ Standard Library Tutorial and Reference","'2nd Edition","'Addison Wesley Longman, http://cppstdlib.com/",
"'Anthony Williams","'2012","'C++ Concurrency in Action: Practical Multithreading","'","'Manning Publications Co",
"'Scott Meyers","'2014","'Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14","'","'O'Reilly, http://shop.oreilly.com/produc t/0636920033707.do",
"'Scott Meyers","'2005","'Effective C++: 55 Specific Ways to Improve Your Programs and Designs","'3rd Edition","'Addison-Wesley, http://www.aristeia.com/books html",
"'Scott Meyers","'2001","'Effective STL: 50 Specific Ways to Improve Your Use of the Standard Template Library","'","'Addison-Wesley, http://www.aristeia.com/books .html",
"'Herb Sutter","'1999","'Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions","'","'http://www.gotw.ca/publicatio ns/xc++.htm",
"'Andrew Koenig and Barbara Moo","'2000","'Accelerated C++: Practical Programming by Example","'","'Addison-Wesley, http://www.informit.com/store /accelerated-c-plus-plus- practical-programming-by- example-9780201703535",
,,,,

'Confidence Scores % (Table Cell)
"'96.19140625","'92.18750000","'96.38671875","'94.62890625","'95.50781250",
"'77.92968750","'77.92968750","'77.92968750","'77.92968750","'77.92968750",
"'95.26367188","'91.30859375","'95.45898438","'93.75000000","'94.62890625",
"'93.65234375","'89.74609375","'93.84765625","'92.13867188","'92.96875000",
"'95.50781250","'91.55273438","'95.70312500","'93.99414063","'94.82421875",
"'95.94726563","'91.94335938","'96.14257813","'94.38476563","'95.26367188",
"'80.61523438","'80.61523438","'80.61523438","'80.61523438","'80.61523438",
"'92.57812500","'88.76953125","'92.77343750","'91.11328125","'91.94335938",
"'92.48046875","'88.67187500","'92.67578125","'91.01562500","'91.84570313",
"'94.72656250","'90.82031250","'94.92187500","'93.21289063","'94.09179688",
"'93.35937500","'89.50195313","'93.55468750","'91.84570313","'92.72460938",
"'94.48242188","'90.52734375","'94.62890625","'92.96875000","'93.79882813",
"'92.96875000","'89.11132813","'93.16406250","'91.50390625","'92.33398438",
"'96.48437500","'92.48046875","'96.67968750","'94.92187500","'95.80078125",
