"'Igyvendinimo forma","'Vykdymo laikotarpis","'Vykdymo kalba (-os)",
"'Auditoriné","'2 semestras","'Lietuviu",
,,

'Confidence Scores % (Table Cell)
"'91.60156250","'92.67578125","'92.13867188",
"'91.69921875","'92.77343750","'92.23632813",
